#i              j      <SS(i,j)>    sd(SS(i,j))    <TzTz(i,j)>  sd(TzTz(i,j))
5             20     -0.0683866       0.279006   -3.00216e-05     0.00734632
5             21      0.0746811        0.28608    3.66299e-05     0.00691775
5             22     -0.0895209       0.273627    -0.00012169     0.00744718
5             23      0.0763482       0.279125   -2.31908e-05     0.00670114
5             24      0.0762284       0.282496   -5.59698e-05     0.00843935
5             25     -0.0685172       0.271045   -0.000203291     0.00757613
5             26      0.0633381       0.282969   -5.77091e-05     0.00632471
5             27     -0.0617467        0.28075   -0.000315094     0.00733064
5             28      -0.082502       0.276634   -0.000243193     0.00690815
5             29      0.0911884       0.281351    0.000172433     0.00693887
5             30     -0.0726566       0.284243   -7.38914e-05     0.00741568
5             31      0.0550118       0.281207    0.000153405     0.00805694

6              0       -0.62342       0.332887      0.0121634      0.0677066
6              1       0.652224       0.308082      0.0148639      0.0685295
6              2      -0.722884       0.250721      0.0172956      0.0674772
6              3       0.640605       0.319297      0.0124398      0.0686219
6              4       0.642136       0.320665      0.0153122      0.0687805
6              5      -0.702557       0.281539      0.0208124      0.0671921
6              6              1              0      0.0661929      0.0709811
6              7       -0.70791       0.271329      0.0208811      0.0688255
6              8      -0.626646       0.343133      0.0140485      0.0694275
6              9       0.624319       0.334183      0.0111892      0.0698583
6             10       -0.71897       0.270559      0.0243114      0.0716252
6             11       0.639019       0.332306      0.0167518      0.0695997
6             12       0.592305       0.367734     0.00955135      0.0694628
6             13       -0.62819       0.325733      0.0101548      0.0689828
6             14       0.667574       0.309075      0.0167124      0.0705412
6             15      -0.617394       0.339046      0.0133837      0.0696812
6             16     -0.0769237       0.269418   -0.000157086     0.00735611
6             17      0.0910496       0.273219    0.000173766     0.00764163
6             18     -0.0688495       0.268172   -8.69491e-05     0.00660525
6             19      0.0958795       0.260227    -0.00038362     0.00700859
6             20      0.0755679       0.283223   -1.75039e-05     0.00791238
6             21     -0.0868689       0.268856   -0.000239597     0.00691603
6             22      0.0956791       0.266122   -0.000379864     0.00688165
6             23     -0.0815112       0.276008    0.000169432      0.0069513
6             24      -0.080017       0.279898     4.6021e-05     0.00827494
6             25      0.0705768        0.26857    2.10879e-05     0.00765376
6             26     -0.0645538        0.28303    5.48728e-05     0.00655407
6             27      0.0694578       0.269949   -0.000189259     0.00666947
6             28      0.0823304       0.277907     0.00036259     0.00694997
6             29     -0.0931303       0.272835   -0.000132397     0.00693424
6             30      0.0782635       0.275038   -0.000143154      0.0069344
6             31     -0.0740043       0.280656   -0.000112757     0.00809963

7              0       0.644124       0.317478      0.0169795      0.0669391
7              1      -0.624563       0.324705      0.0152942      0.0673089
7              2       0.662515       0.294329      0.0131169      0.0663636
7              3      -0.706775       0.280341      0.0231409      0.0697786
7              4      -0.711713       0.289279      0.0239409      0.0675613
7              5       0.643104       0.320335      0.0173708      0.0678992
7              6       -0.70791       0.271329      0.0208811      0.0688255
7              7              1              0      0.0678169      0.0715638
7              8       0.661507       0.312458      0.0155105      0.0702654
7              9      -0.597166       0.363352      0.0108205       0.068774
7             10       0.631006       0.334279      0.0156984       0.072772
7             11      -0.714561       0.245888      0.0221397      0.0678232
7             12      -0.618922       0.338899      0.0112634       0.069482
7             13       0.616854       0.336045     0.00930114      0.0685816
7             14      -0.633585       0.320495      0.0125975      0.0678757
7             15         0.6535        0.31056      0.0157219      0.0701256
7             16       0.105217       0.269865   -0.000305231     0.00710127
7             17      -0.113335       0.268258    -0.00018175      0.0078855
7             18      0.0959311       0.266409     0.00022691     0.00727931
7             19      -0.123172       0.257833   -0.000237534     0.00780314
7             20     -0.0976083        0.26723   -0.000131941     0.00766552
7             21       0.107376       0.266845    5.80362e-05     0.00695137
7             22      -0.127682       0.259331    4.76369e-05      0.0075062
7             23       0.107573       0.261857   -0.000269278     0.00732497
7             24        0.10445        0.26098   -0.000128513     0.00823454
7             25       -0.10023       0.251708   -5.54477e-05     0.00755827
7             26      0.0909454       0.267107    0.000206207     0.00673226
