#i              j      <SS(i,j)>    sd(SS(i,j))    <TzTz(i,j)>  sd(TzTz(i,j))
3             62     -0.0150852     0.00375971   -0.000176973    5.66876e-06
3             63    -0.00242711     0.00247861     -0.0745427      0.0131762
3             64      0.0148584              0   -0.000121924              0
3             65     -0.0169615     0.00296432     -0.0439664      0.0126967
3             66      0.0144549     0.00597895     0.00964841      0.0250651
3             67      0.0704943              0     0.00027535              0
3             68    -0.00650631     0.00101595       -0.11656     0.00326141
3             69     -0.0426412    4.90605e-09    5.45509e-05    4.72587e-12
3             70     -0.0183913     0.00313136       0.102897      0.0105415
3             71     0.00800238              0   -0.000247804    3.45129e-11

4              0       0.999051              0       0.061836              0
4              1       0.997974    2.11523e-07      0.0631855     9.9438e-09
4              2       0.998367    1.01612e-07      0.0631337              0
4              3       0.999075              0      0.0637243    1.17804e-08
4              4       0.999587              0      0.0625441     2.0825e-09
4              5       0.999288              0      0.0612631              0
4              6       0.997836    0.000737054       0.061848    0.000160435
4              7       0.997613     1.9992e-07      0.0632925              0
4              8       0.997295              0      0.0633017    1.31709e-09
4              9       0.998613     0.00035838      0.0625002    0.000252311
4             10       0.997894    2.10734e-08      0.0610945    3.01783e-09
4             11       0.997522    0.000106224      0.0623555    0.000185703
4             12       0.997226     0.00013657      0.0635914    0.000202959
4             13       0.997573    1.46381e-07      0.0631163    1.32366e-08
4             14       0.997261              0      0.0619241              0
4             15       0.997301    2.35608e-07      0.0627337              0
4             16        0.99767    1.71525e-07      0.0633978              0
4             17       0.996534    0.000500013      0.0621244    0.000704327
4             18       0.996801              0      0.0630341              0
4             19       0.996351              0      0.0614608    7.39214e-09
4             20       0.996401    0.000653879      0.0613861     0.00030941
4             21       0.997656              0      0.0618733    9.56591e-09
4             22       0.998167    2.06745e-07      0.0612088    7.87505e-09
4             23       0.996968              0      0.0622205              0
4             24       0.998855              0      0.0626196              0
4             25       0.997747              0      0.0625595              0
4             26        0.99699    2.65517e-07      0.0616443              0
4             27       0.998528    1.15424e-07      0.0626733    1.19993e-08
4             28       0.999566              0      0.0624417              0
4             29       0.998956    1.56993e-07      0.0630785              0
4             30       0.998681    5.30478e-06      0.0625234    0.000162913
4             31       0.998547              0      0.0627476    1.31709e-09
4             32        0.99853              0      0.0619748              0
4             33       0.999042     1.1151e-07      0.0623388              0
4             34       0.999299              0      0.0615806              0
4             35       0.999456    6.40923e-08       0.061084              0
4             36     -0.0959598              0    0.000276442              0
4             37      -0.028437     0.00692059     0.00417636     0.00723319
4             38     0.00441799     0.00327345   -8.08783e-06    6.63189e-06
4             39     0.00825105     0.00314881       0.111235     0.00410289
4             40    -0.00114711              0   -0.000217224    3.42241e-11
4             41      0.0107558     0.00228486     -0.0496032      0.0064149
4             42      0.0117389     0.00155487     -0.0923121      0.0100881
